title,description,category
"Mel Gibson Maligns Kamala Harris As Having “IQ Of A Fence Post”; ‘Mad Max’ Star Supporting Donald Trump In Tight Election, He Says","Just a few days ago, Andrew Garfield praised his Hacksaw Ridge director Mel Gibson for the “beautiful healing with himself” the Oscar winner has done over the year. Based on comments Gibson made today at LAX about the Vice President of the United States, the …",celebrity
Kamala Harris Draws Sharp Contrast With Donald Trump In Closing Argument Speech: “We Are Not A Vessel For The Schemes Of Wannabe Dictators”,"Kamala Harris drew a sharp contrast with Donald Trump as she made her closing argument with the backdrop of the White House, telling a massive crowd at the Ellipse that the election is a choice between a hopeful future and chaos and division. “These United St…",analysis
Kamala Harris and Donald Trump offer worlds-apart contrasts on top issues in presidential race,"This year's U.S. presidential election contrasts Kamala Harris's vision of expanded social and climate policies with Donald Trump's focus on deregulation, fossil fuels, and strong immigration controls, reflecting stark differences on issues like abortion, dem…",analysis
"Kamala Harris expected to appear on SNL, say U.S. media reports","U.S. Vice-President Kamala Harris has made an unannounced trip to New York to appear on Saturday Night Live, briefly stepping away from the battleground states where she's been campaigning with just three days to go before the election.",campaign activity
A photo of Kamala Harris in a McDonald’s uniform is fake,Vice President Kamala Harris has told voters she worked at McDonald’s as a nod to her middle-class upbringing. Former President Donald Trump has repeatedly said without evidence that she is […] The post A photo of Kamala Harris in a McDonald’s uniform is fake…,campaign activity
"As Kamala Harris makes final appeal to U.S. voters in Philly, her supporters hope it's a seismic moment","Kamala Harris is holding her final campaign rally in Philadelphia on Monday night. While Harris herself has downplayed the historic nature of her candidacy, on the evening before election day, her supporters told CBC News it feels like a significant moment.",analysis
"Republican Liz Cheney Campaigns For Kamala Harris In Oakland, Michigan","The event, moderated by former California First Lady Maria Shriver, was focused on bridging political differences and defending democratic values.",campaign activity
The Kamala Harris Record On Fracking And Leasing Is Clear,Kamala Harris's record on fracking and other key oil and gas issues is clear. But her campaign promises are often at odds with it.,analysis
"Beyoncé Will Appear At Kamala Harris Rally Tomorrow, Report Says",Beyoncé’s song “Freedom” has served as Vice President Kamala Harris’ campaign anthem since she announced her candidacy this summer.,celebrity
"Kamala Harris’ Order For McDonald’s: Costly Regulations, High Taxes","Despite the many references to McDonald’s during this cycle, there has been little discussion about how one of the two major parties is attacking the franchise model.",analysis
Kamala Harris Art Stencils Recall Iconic Obama ‘Hope’ Posters,Brandon Litman creates art stencils of Kamala Harris to engage voters and build community. Political art stencils have been popular worldwide since the 1920s.,campaign activity
Kamala Harris Has More Billionaires Prominently Backing Her Than Trump—Bloomberg Reportedly Gives Another $50 Million To Help Harris (Updated),Michael Bloomberg's reported commitment to Democrats is up to almost $100 million this cycle.,campaign activity
"Bill Gates Donated $50 Million To Nonprofit Supporting Kamala Harris, Report Says",Gates has not publicly endorsed Harris despite backing a nonprofit organization supporting her presidential campaign.,campaign activity
"Kamala Harris Has More Billionaires Prominently Backing Her Than Trump—Buffett, Gates Weigh In (Updated)",The historically apolitical centibillionaires Warren Buffett and Bill Gates are taking different paths this election cycle.,analysis
Inside New Minnesota Poll Showing Kamala Harris With Narrow 3-Point Edge Over Trump,"On ""Forbes Newsroom,"" Ana Radelat, the Washington Correspondent for MinnPost, discussed a new MinnPost-Embold Research poll showing Harris slightly ahead of Trump in MN.",analysis
Chappell Roan Debuts New Song & Kamala Harris Stops By On John Mulaney Led ‘SNL’,Mulaney has been a favorite host at Studio 8H and appeared with Chappell Roan and VP Kamala Harris.,celebrity
‘Couch Potato Voters’ Could Help Trump Defeat Kamala Harris: Top Pollster,"On ""Forbes Newsroom,"" HarrisX Founder and CEO Dritan Nesho discussed a new HarrisX/Forbes Poll showing a statistically tied race for the presidency between vice president Kamala Harris and former president Donald Trump.",analysis
Here Are The Billionaires Donating To Kamala Harris' Super PAC | Forbes Topline,"After emphasizing bipartisanship and staying away from big political donations for decades, Bill Gates recently donated about $50 million to the nonprofit arm of a super PAC supporting Kamala Harris, the New York Times reported on Tuesday. He?s far from the o…",campaign activity
Beyoncé At Kamala Harris Houston Rally: “It’s Time To Sing A New Song”,"Beyoncé formally endorsed Vice President Kamala Harris in her hometown Houston, Texas on Friday, October 25.",celebrity
Why Eminem's Endorsement Of Kamala Harris Would Be A Big Deal As She Targets Michigan Voters,"Eminem, a Detroit native, is a frequent critic of former President Donald Trump and previously allowed President Joe Biden to use his music in a campaign ad.",analysis
I Played The Kamala Harris ‘Fortnite’ Questline And Here’s What I Found,"In an effort to get the youths to Pokémon GO to the polls, Kamala Harris’ campaign has designed a custom Fortnite map.",analysis
Kamala Harris Has More Billionaires Prominently Backing Her Than Trump—Bezos And Griffin Weigh In (Updated),"""Even though I have plenty of disagreements with their platform...I am voting for Kamala Harris and Tim Walz,"" Schwarzenegger, the former Republican governor of California, wrote Wednesday.",campaign activity
"Kamala Harris Has More Billionaires Prominently Backing Her Than Trump—Steve Ballmer, Jamie Dimon Weigh In (Update)","You won't find endorsements from tech centibillionaires like Steve Ballmer, Jeff Bezos or Bill Gates, but many of the nation's richest have weighed in on the election.",campaign activity
"Kamala Harris Has More Billionaires Prominently Backing Her Than Trump—Microsoft’s Bill Gates, Steve Ballmer Weigh In (Update)","Bill Gates reportedly donated $50 million to a PAC backing Harris, a surprise move for the historically nonpartisan Microsoft cofounder.",campaign activity
"Kamala Harris Has More Billionaires Prominently Backing Her Than Trump—Warren Buffett, Bill Gates Weigh In (Update)",The historically apolitical centibillionaires Warren Buffett and Bill Gates are taking different paths this election cycle.,campaign activity
Here Are The Other Billionaires Donating To The Same Pro-Kamala Harris Super PAC As Bill Gates,"Gates’ donation to the PAC was done through dark money, but other billionaires including Netflix cofounder Reed Hastings contributed publicly to the PAC.",campaign activity
270 Reasons: Because Kamala Harris Is an Ally to the Queer Community,"Our friends at 270 Reasons are gathering a polyphonic orchestra of brilliant writers, teachers, doctors, filmmakers, artists, and citizens of all kinds to weigh in about their plans to vote this November. These opinion essays run the gamut from advocacy for b…",analysis
"We Didn’t Vote for Kamala Harris Back in 2024, and Now We’re Stuck in This MAGA Work Camp on Mount Rushmore","Sometime in the future, three prisoners from the Keystone MAGA Work Camp carve President Trump’s likeness into Mount Rushmore. PROTEST VOTER: You know what I thought when I woke up this morning, facing yet another day of carving President Trump’s head into Mo…",analysis
Editorial Writers at L.A. Times & WaPo Resign After Billionaire Owners Block Kamala Harris Endorsements,"The Los Angeles Times and The Washington Post announced that they would not be endorsing anyone in the U.S. presidential election this year, breaking decades of precedent and overriding planned endorsements of Kamala Harris. The decisions were ordered by the …",campaign activity
Trump sues CBS over Kamala Harris interview,"Republican presidential candidate Donald Trump sued CBS on Thursday over an interview of his Democratic rival Kamala Harris aired in early October that the lawsuit alleged was ""doctored"" and misleading, according to a court filing. The filing was made in the …",trump
New Polls Show Kamala Harris' Chances of Winning Michigan,"The battle for Michigan remains extremely close between Vice President Kamala Harris and former President Donald Trump, although a handful of polls in recent weeks have shown positive signs for Democrats. The Great Lakes State is among a handful of contests t…",analysis
Map Shows Kamala Harris and Donald Trump's Final Campaign Stops,"In the final days leading up to the November 5 election, both Vice President Kamala Harris and former President Donald Trump are making critical campaign stops in battleground states, fighting for every last undecided voter. There is a broad feeling of uncert…",analysis
How Mormons Could Be Kamala Harris' Secret Weapon in Arizona,"Traditionally conservative members of the Church of Latter-day Saints in Arizona are being turned off from former President Donald Trump, in part because of his language around immigrants. With around 400,000 Mormons in the battleground state — roughly 6 perc…",analysis
Kamala Harris sharpens her campaign message in primetime Washington speech,"The News Kamala Harris summed up her campaign pitch with the largest rally of the cycle — at the White House ellipsis, with the office she wants to take over glowing right behind her. “My presidency will be different because the challenges we face are differe…",campaign activity
Kamala Harris Gains Momentum as Campaigns Head into Homestretch,"Recent polls, surveys and betting odds show that Harris' presidential campaign has gained steam ahead of Election Day.",analysis
"Kamala Harris Is Outperforming in Battleground States, Polls Suggest","Vice President Kamala Harris is performing better in battleground states than she is nationally, according to polling. A CNBC poll conducted between October 15 and 19 among 1,000 voters nationwide showed that nationally, former President Donald Trump held a 2…",analysis
Kamala Harris Gets Bad News From Georgia's Black Voters,"Kamala Harris' support from Black voters in Georgia is substantially less than Joe Biden's in 2020, according to a new poll.",analysis
Archbishop Exiled by Pope Francis Says Kamala Harris 'Obeys Satan',"Carlo Maria Viganò, an archbishop that was excommunicated by Pope Francis, in a new letter addressed to American voters wrote that Vice President Kamala Harris, the Democratic nominee, ""obeys Satan."" ""In this election you must choose between two radically opp…",campaign activity
Beyoncé Fails to Deliver Odds Boost for Kamala Harris,"Vice President Kamala Harris' odds of winning the 2024 presidential election have worsened over the past 24 hours, according to a leading bookmaker. On Friday, Betfair offered odds of 6/4 (40 percent) on Harris achieving victory on November 5, compared to 4/6…",analysis
Kamala Harris Gets First Endorsement From George W. Bush's Family,"Vice President Kamala Harris has received her first endorsement from one of the nation's most dynastic Republican families. Barbara Pierce Bush, the daughter of former President George W. Bush and granddaughter of former President George H.W. Bush, spent the …",celebrity
Kamala Harris Makes Surprise Appearance on 'Saturday Night Live',"Vice President Kamala Harris made an unexpected detour to New York City, joining NBC's Saturday Night Live for the long-running comedy sketch show's final episode before Election Day. The surprise appearance, which came after Harris departed Charlotte, North …",campaign activity
Ripple Co-Founder Larsen Flooding Kamala Harris' Election Effort With XRP,Ripple co-founder and Executive Chairman Chris Larsen said he'd added another $10 million in the Ripple-tied token {{XRP}} in an effort to boost Vice President Kamala Harris as the Democrat faces off against former President Donald Trump in next month's elect…,campaign activity
JD Vance Trolls Kamala Harris With One of Her Favorite Lines,"Ohio Senator JD Vance opened a town hall in North Carolina with a line parodying one of Vice President Kamala Harris' frequent remarks in public speeches. ""I grew up in a working-class family,"" the Republican vice presidential candidate began, pausing with a …",trump
Kamala Harris voters in Texas receive intimidating flyers signed by ‘Trump Klan’,"In an election year that has been filled with ugliness, things are getting even worse in the Texas Hill Country as a group or individual calling itself the “Trump Klan” is leaving messages threatening would-be voters for Kamala Harris. Law enforcement officia…",campaign activity
Will Taylor Swift Appear at Kamala Harris' Pennsylvania Rally? What We Know,Rumors are circulating on social media that Taylor Swift could appear at a rally that Vice President Kamala Harris is reportedly holding in Pennsylvania on the eve of Election Day. Harris will be holding a rally in front of the iconic Philadelphia Museum of A…,celebrity
"Kamala Harris May Flip State Donald Trump Won Twice, New Poll Suggests",A new poll from the Des Moines Register found a surprising reversal of fortunes for Donald Trump in a state he handily won twice.,analysis
"Kamala Harris Bans Virtual Guns In Her Own ""Freedom Town"" Fortnite Game","Kamala Harris Bans Virtual Guns In Her Own ""Freedom Town"" Fortnite Game   In the digital era video games are the most consumed form of entertainment by far, and gamers who spent their formative years playing the first generation Nintendo, Sega and Playstation…",analysis
Kamala Harris Takes Two Point Lead Over Trump in Final Must-Win State: Poll,The vice president Kamala edges ahead of her Republican opponent in a Pennsylvania poll that was published on Sunday.,analysis
Conservatives Angry With Julia Roberts Ad Urging Women To Vote For Kamala Harris: 'Nauseating',"An advertisement featuring Julia Roberts has sparked controversy. The ad encourages women to vote for Vice President Kamala Harris, irrespective of their husbands’ political inclinations. What Happened: The ad, released by the non-profit organization Vote Com…",campaign activity
Kamala Harris Would Be Least Popular Democrat to Win Election in 64 Years,The vice president has also the highest unfavorable view by an opposing party.,analysis
Kamala Harris could make history as America’s first woman president: What do women think about it?,"We're days away from what could be a historic election, in a highly unusual campaign season. America could get its first female president in Kamala Harris, a late entrant to the race. But unlike in 2016, when Hillary Clinton was the Democratic nominee for the…",analysis
Final Poll Flips to Donald Trump in Four-Point Swing From Kamala Harris,"Donald Trump has overtaken Kamala Harris in the final DailyMail.com/J.L. Partners national poll before Election Day, with a three-point lead over the vice president. The poll, released Thursday, showed Trump with 49 percent support among likely voters, while …",analysis
Is Kamala Harris 'Giving Up' On North Carolina? What We Know,"One of Donald Trump's top political strategists has claimed the Kamala Harris presidential campaign is ""giving up on North Carolina"" after it was reported they had canceled over $1,700,000 of reserved television advertising in the battleground state. On Tuesd…",analysis
Here’s how much more Kamala Harris could earn if she wins the election,"Kamala Harris is not in for much of a surprise when it comes to pay if she gets elected come this November. That’s because the presidential salary has stayed the same since before the 21st century—last changing in 1999, under the Clinton administration. Even …",analysis
Ex-Obama aide explains why Kamala Harris is losing Gen Z men to Donald Trump,"Vice President Kamala Harris is an outspoken fan of Gen Zers. But she’s lagging behind in young male support—which could be a big problem, Dan Pfeiffer, who was a senior advisor to former President Barack Obama, has warned. In a Tuesday appearance on CNN’s Th…",analysis
Half of Voters Say Donald Trump Is a Fascist. Some Say Kamala Harris Is Too,"Half of Americans see former President Donald Trump as a fascist, according to a new ABC News/Ipsos poll, roughly twice as many who say the same of Vice President Kamala Harris. Less than two weeks before Election Day, 44 percent of registered voters said Tru…",analysis
